customer_id,salary_delay_days,savings_drop_pct,utility_payment_delay_days,discretionary_spend_drop_pct,atm_withdrawal_increase,upi_lending_txn_count,failed_autodebit_count,default_next_30_days
CUST_1,6,0.4,6,0.44,4,0,2,1
CUST_2,9,0.08,2,0.28,4,3,2,1
CUST_3,5,0.03,3,0.56,1,3,0,0
CUST_4,0,0.15,5,0.0,0,0,2,0
CUST_5,9,0.02,3,0.22,2,3,2,1
CUST_6,3,0.3,2,0.52,4,0,2,0
CUST_7,1,0.47,3,0.34,1,0,1,0
CUST_8,4,0.12,3,0.26,3,0,2,0
CUST_9,2,0.45,3,0.11,3,1,1,0
CUST_10,5,0.1,3,0.11,1,1,1,0
CUST_11,9,0.45,5,0.44,3,0,1,1
CUST_12,7,0.42,4,0.16,4,3,1,1
CUST_13,8,0.14,3,0.17,4,2,0,1
CUST_14,0,0.01,0,0.46,3,3,2,0
CUST_15,2,0.35,2,0.47,2,0,1,0
CUST_16,6,0.33,3,0.52,3,1,0,1
CUST_17,6,0.16,4,0.44,2,2,0,0
CUST_18,2,0.06,5,0.51,4,1,2,0
CUST_19,6,0.02,6,0.26,1,3,0,0
CUST_20,2,0.02,6,0.29,4,3,1,0
CUST_21,4,0.12,4,0.32,4,3,0,0
CUST_22,6,0.14,5,0.53,1,0,1,0
CUST_23,8,0.05,3,0.48,3,3,1,0
CUST_24,9,0.06,0,0.19,0,0,0,0
CUST_25,8,0.41,0,0.18,2,0,1,1
CUST_26,4,0.35,1,0.2,2,1,0,0
CUST_27,3,0.18,0,0.15,3,1,2,0
CUST_28,1,0.36,4,0.17,0,2,0,0
CUST_29,1,0.25,5,0.02,0,0,2,0
CUST_30,1,0.27,1,0.59,3,2,2,0
CUST_31,7,0.12,6,0.48,4,3,1,1
CUST_32,5,0.2,6,0.05,0,0,2,1
CUST_33,5,0.35,2,0.35,2,3,2,1
CUST_34,9,0.26,2,0.21,3,0,0,1
CUST_35,7,0.19,1,0.5,2,3,0,0
CUST_36,8,0.1,6,0.53,2,2,1,1
CUST_37,8,0.26,0,0.15,3,0,0,0
CUST_38,6,0.17,2,0.42,2,3,1,0
CUST_39,7,0.44,3,0.05,3,1,1,1
CUST_40,2,0.19,0,0.4,4,1,1,0
CUST_41,1,0.24,2,0.39,0,3,0,0
CUST_42,3,0.12,4,0.11,2,0,0,0
CUST_43,2,0.32,5,0.15,4,2,1,0
CUST_44,7,0.32,1,0.21,0,3,2,1
CUST_45,0,0.1,4,0.3,3,2,0,0
CUST_46,0,0.5,5,0.57,4,1,2,1
CUST_47,8,0.48,4,0.26,4,2,2,1
CUST_48,0,0.04,4,0.23,0,3,2,0
CUST_49,1,0.28,6,0.51,2,3,1,0
CUST_50,7,0.1,6,0.59,1,2,2,1
CUST_51,9,0.44,0,0.51,0,2,1,1
CUST_52,6,0.15,6,0.25,1,0,0,0
CUST_53,9,0.0,3,0.48,0,3,1,0
CUST_54,2,0.17,3,0.35,2,0,1,0
CUST_55,5,0.3,5,0.15,1,1,2,1
CUST_56,5,0.27,4,0.31,4,3,0,0
CUST_57,6,0.04,4,0.12,2,2,0,0
CUST_58,1,0.26,5,0.02,2,3,1,0
CUST_59,6,0.13,1,0.58,0,3,0,0
CUST_60,0,0.09,0,0.27,0,3,0,0
CUST_61,4,0.32,4,0.44,4,1,0,0
CUST_62,6,0.02,1,0.21,4,1,0,0
CUST_63,4,0.05,5,0.51,3,0,1,0
CUST_64,9,0.25,6,0.21,4,2,1,1
CUST_65,9,0.47,3,0.03,1,1,2,1
CUST_66,9,0.25,4,0.41,1,0,2,1
CUST_67,3,0.29,1,0.34,0,0,0,0
CUST_68,2,0.41,3,0.23,0,3,1,0
CUST_69,1,0.02,1,0.41,0,1,0,0
CUST_70,9,0.34,5,0.49,0,2,1,1
CUST_71,4,0.17,2,0.53,3,0,0,0
CUST_72,8,0.27,4,0.45,2,0,2,1
CUST_73,3,0.19,6,0.35,4,3,0,0
CUST_74,6,0.38,0,0.14,0,0,1,0
CUST_75,3,0.41,5,0.18,2,0,0,0
CUST_76,8,0.42,0,0.19,3,2,1,1
CUST_77,4,0.05,3,0.2,2,0,0,0
CUST_78,6,0.39,6,0.05,1,1,2,1
CUST_79,9,0.22,6,0.33,2,1,2,1
CUST_80,8,0.38,3,0.52,4,3,1,1
CUST_81,8,0.41,1,0.09,4,0,1,1
CUST_82,2,0.29,4,0.22,3,0,2,0
CUST_83,6,0.49,3,0.21,3,2,2,1
CUST_84,5,0.35,1,0.54,2,0,0,0
CUST_85,1,0.23,1,0.44,4,2,0,0
CUST_86,6,0.37,4,0.14,0,2,0,0
CUST_87,8,0.43,5,0.26,1,3,0,1
CUST_88,4,0.02,4,0.6,4,3,2,0
CUST_89,2,0.48,1,0.1,0,1,2,0
CUST_90,0,0.31,5,0.23,0,2,1,0
CUST_91,7,0.2,3,0.2,1,3,1,0
CUST_92,7,0.18,1,0.16,4,0,2,1
CUST_93,5,0.02,0,0.19,3,0,0,0
CUST_94,2,0.41,1,0.25,4,2,0,0
CUST_95,1,0.04,5,0.52,4,0,2,0
CUST_96,7,0.19,0,0.29,0,2,0,0
CUST_97,9,0.19,5,0.5,0,0,0,1
CUST_98,1,0.02,6,0.16,3,0,0,0
CUST_99,4,0.5,4,0.35,4,0,1,1
CUST_100,9,0.19,4,0.27,0,2,0,1
CUST_101,3,0.11,0,0.45,1,3,2,0
CUST_102,7,0.01,1,0.31,2,2,1,0
CUST_103,0,0.28,4,0.05,2,0,0,0
CUST_104,6,0.38,4,0.38,2,2,2,1
CUST_105,5,0.31,1,0.21,1,1,1,0
CUST_106,2,0.45,3,0.33,0,3,2,0
CUST_107,6,0.26,0,0.57,3,1,0,0
CUST_108,9,0.38,3,0.28,1,1,0,1
CUST_109,1,0.16,2,0.35,2,2,2,0
CUST_110,8,0.23,6,0.24,3,3,0,1
CUST_111,2,0.44,2,0.4,1,0,1,0
CUST_112,2,0.02,4,0.21,1,0,1,0
CUST_113,4,0.27,4,0.28,1,1,1,0
CUST_114,0,0.25,4,0.19,1,0,2,0
CUST_115,8,0.34,5,0.09,4,0,1,1
CUST_116,3,0.4,0,0.36,3,2,2,0
CUST_117,7,0.24,1,0.46,1,0,1,0
CUST_118,7,0.07,2,0.54,2,2,0,0
CUST_119,1,0.22,2,0.24,0,2,0,0
CUST_120,9,0.28,0,0.13,1,1,0,0
CUST_121,0,0.17,0,0.41,2,0,0,0
CUST_122,1,0.04,6,0.44,0,3,2,0
CUST_123,9,0.14,5,0.54,1,2,2,1
CUST_124,5,0.3,0,0.0,4,1,1,0
CUST_125,6,0.24,5,0.11,0,2,2,1
CUST_126,2,0.01,4,0.59,1,3,2,0
CUST_127,3,0.0,5,0.15,2,1,0,0
CUST_128,1,0.28,1,0.17,3,0,1,0
CUST_129,9,0.16,2,0.12,3,0,2,1
CUST_130,0,0.31,5,0.35,2,2,0,0
CUST_131,2,0.03,1,0.27,4,2,1,0
CUST_132,1,0.16,1,0.05,4,0,0,0
CUST_133,8,0.3,5,0.25,0,0,1,1
CUST_134,1,0.06,2,0.56,3,2,2,0
CUST_135,0,0.37,5,0.03,4,3,2,0
CUST_136,8,0.38,3,0.1,4,0,0,1
